ID,Word,Length,Short,HasE,IsNoun
184,so,2,yes,No,No
185,nobly,5,no,No,No
186,advanced,8,no,Yes,No
187,It,2,yes,No,No
188,is,2,yes,No,No
189,rather,6,no,Yes,No
190,for,3,yes,No,No
191,us,2,yes,No,No
192,to,2,yes,No,No
193,be,2,yes,Yes,No
194,here,4,no,Yes,No
195,dedicated,9,no,Yes,No
196,to,2,yes,No,No
197,the,3,yes,Yes,No
198,great,5,no,Yes,No
199,task,4,no,No,Yes
200,remaining,9,no,Yes,No
201,before,6,no,Yes,No
202,us,2,yes,No,No
203,that,4,no,No,No
204,from,4,no,No,No
205,these,5,no,Yes,No
206,honored,7,no,Yes,No
207,dead,4,no,Yes,Yes
208,we,2,yes,Yes,No
209,take,4,no,Yes,No
210,increased,9,no,Yes,No
211,devotion,8,no,Yes,Yes
212,to,2,yes,No,No
213,that,4,no,No,No
214,cause,5,no,Yes,Yes
215,for,3,yes,No,No
216,which,5,no,No,No
217,they,4,no,Yes,No
218,gave,4,no,Yes,No
219,the,3,yes,Yes,No
220,last,4,no,No,No
221,full,4,no,No,No
222,measure,7,no,Yes,Yes
223,of,2,yes,No,No
224,devotion,8,no,Yes,Yes
225,that,4,no,No,No
226,we,2,yes,Yes,No
227,here,4,no,Yes,No
228,highly,6,no,No,No
229,resolve,7,no,Yes,No
230,that,4,no,No,No
231,these,5,no,Yes,No
232,dead,4,no,Yes,Yes
233,shall,5,no,No,No
234,not,3,yes,No,No
235,have,4,no,Yes,No
236,died,4,no,Yes,No
237,in,2,yes,No,No
238,vain,4,no,No,Yes
239,that,4,no,No,No
240,this,4,no,No,No
241,nation,6,no,No,Yes
242,under,5,no,Yes,No
243,God,3,yes,No,Yes
244,shall,5,no,No,No
245,have,4,no,Yes,No
246,a,1,yes,No,No
247,new,3,yes,Yes,No
248,birth,5,no,No,Yes
249,of,2,yes,No,No
250,freedom,7,no,Yes,Yes
251,and,3,yes,No,No
252,that,4,no,No,No
253,government,10,no,Yes,Yes
254,of,2,yes,No,No
255,the,3,yes,Yes,No
256,people,6,no,Yes,Yes
257,by,2,yes,No,No
258,the,3,yes,Yes,No
259,people,6,no,Yes,Yes
260,for,3,yes,No,No
261,the,3,yes,Yes,No
262,people,6,no,Yes,Yes
263,shall,5,no,No,No
264,not,3,yes,No,No
265,perish,6,no,Yes,No
266,from,4,no,No,No
267,the,3,yes,Yes,No
268,earth,5,no,Yes,Yes
