CDT_ID,Sample_COR
38,"In my first CDR, my team leader (TL) identified that physical fitness was a weakness of mine, but also stated that I had shown improvement from the beginning of the semester to the end of the semester"
39,"Since then, my physical fitness has steadily improved."
40,"However, during Cadet Field Training (CFT), I sustained a stress fracture to my foot, which greatly impeded my ability to improve my physical fitness."
41,"Going into my firstie year, I sustained a tear to my hip flexor muscle, which I am currently doing physical therapy for"
42,This has forced me to put developing my physical fitness on hold while I recover from this injury
43,"As such, physical fitness has always been a struggle for me, but I recognize how I can develop this and am continuing to work through this weakness. "
44,"I also struggle with confidence, which, though I have developed since my plebe year, still requires my attention. "
45,"In this case, I feel that I am more of an introverted person and do not project confidence, and can easily lose confidence, which was identified by my peer"
46,"A personal example of this occurred when I was a CBT SL. During this time, my confidence vastly improved, as I was put in a position where I had to maintain a commanding presence"
47,"However, there were many situations where, upon reflection, I think that I could have done a better job with confidence in the face of failure. "
48,"For example, I was leading physical training (PT) on one occasion, and I made a mistake on the order of preparatory drills (PD)"
49,"At this point in the detail, the NCs knew what the order was, so they knew that I made a mistake, which ultimately caused me to lose faith in my own expertise even though I had a better understanding of how to lead these PT sessions than they did. "
50,"In a situation like this, I needed to do a better job of not letting failure affect me. "
51,"Confidence and physical fitness are the bedrock of officership in the sense that mission command and disciplined initiative demands confidence, and physical fitness is directly correlated to confidence in one’s abilities."
52,"For one, subordinates need to have confidence in their own decision making in order to execute a disciplined initiative."
53, Asking for guidance from the commander every time a subordinate lacks confidence in their own leadership ability fundamentally eliminates a subordinate leader’s role in mission command; it forces commanders to impose greater control over their subordinates and pushes the line away from the balance between absolute command and absolute control. 
54,A basic way to achieve self-confidence is to be physically fit. 
55,"Physical fitness provides oneself an indication of self-discipline and ability, and at a bare minimum, is a means to increasing self-confidence. "
56,"As such, these two weaknesses of are intertwined, and have direct ramifications regarding my ability to be an officer in the 21st century. "
57,Applying the Army’s LGM to developing physical fitness is a natural transition.
58,"Leader growth can be fostered through challenging experiences, new knowledge and capacities, and reflection, through time."
59,"This translates directly to physical fitness. In order to build physical fitness, a person needs to train and push their boundaries, understand how to properly train, and build in time for rest and recovery, which mirrors the LGM."
60,"Pushing boundaries is analogous to challenging experiences, learning how to train is increasing knowledge, and rest and recovery is reflection. "
61,"In order to improve my physical fitness, I am following and will continue to follow a training plan. "
62,"The first step is to overcome my injury; for this, I have a strict physical therapy regimen."
63,"Once my injury heals, I plan on developing a monthly training plan that incorporates each facet of physical fitness, following the principles of programming. "
64,Applying the LGM to developing confidence involves both developing expertise and seeking out new situations/experience.
65,"In order to do this, I need to both develop my sense of self-awareness and increasingly place myself outside of my comfort zone."
66,. One way to achieve greater self-awareness is through constant feedback from others.
67,"Last semester, I required personal, subordinate, and leadership feedback when rating at every level."
68,"Applying this concept to myself, one of my leadership plans is to seek as much feedback from as many people as I possibly can in the form of something similar to a PDR, even if it is not something that directly supports my own evaluation. "
69,"This is a way to develop new knowledge and capacities, and directly leads to reflection."
70,"Upon receiving feedback about myself, it is important to consider the feedback in a reflective way."
71,". I find that the best way to do this is to develop examples of behavior that align with the feedback develop new ways to handle the situation. Over time, this should lead to the development of my confidence. "
72,"The Army’s shift in focus to multi-domain operations forces officers to consider the battlefield at a both a macroscopic and microscopic level, demanding innovation, creativity, and empathy, all of which fall under my personal strengths."
73,"I am limited in my physical fitness and confidence, but by applying the LGM and developing both a fitness plan and increasing my self-awareness, I can improve these weaknesses, which will also improve my readiness to be an officer in the 21st century."
74,Considering personal strengths and weaknesses and how to apply these to the role of an officer in the 21st century is an important step to take as I transition from a cadet to an officer.
75,"Furthermore, reflecting in this way forces me to think critically about the future of the Army and how the Army I enter may not be the Army I exit."
