DEPARTMENT,NAME,POPULATION,LEG2011ID,LEG2011TUR,RDRLEG2011,PDCILEG11,LEG2011WIN,N2011WINPC,MUN2013ID,MUN2013TUR,RDRMUN2013,PDCIMUN13,MUN2013WIN,N2013WINPC,Ouattara2010votes,total2010votes,Ouattara2010vs,Primary.Ethnicity,Mining.EconActivity,PavedRoad.Access,Prefecture,Mairie,Gendarmerie.Police.Poste,HealthClinic,Secondary.School,Bank,ServiceAccess.Index,Feel.Secure,DateFNarrived,FN.Presence.Type,FN.Commander,Commander.FromDepartment,Joined.FN,Joined.Ethnicity,Joined.Roles,Joined.Num,Majority.FN.FromElsewhere,Foreign.FN.Origins,Other.Armedgroups,Combat,Combat.Groups,Combat.Years,Combat.CasualtiesNum,Civilian.Victims,Civilian.Victims.Reason,Civilian.Victims.Num,Pillage,Pillage.Auteurs,FN.Organizedmeetings,Leaders.Cooperated,Cooperation.Types,Which.Leaders.Cooperated,Leaders.Opposed,Which.Leaders.Opposed,Leaders.Fled,Which.Leaders.Fled,MaintainOrder,LandDisputes,ProtectfromAttacks,Education,Education.FNinvolved,Health,Health.FNinvolved,Infrastructure,ProvideLoans,FN.CollectedTaxes,CollectedTaxes.How,Tensions,Tensions.Causes,ProvidedServices.Post2011,WhichServices.Post2011,CollectedTaxes.Post2011First2years,CollectedTaxes.Post2011First2years.How,ProvideServices.Today,ProvideServices.Today.How,CollectTaxes.Today,CollectTaxes.Today.How,CollectTaxes.Postwar.DUMMY,FN.LeaderVisits.Post2011First2years,FN.LeaderVisits.Post2011First2years.Why,FN.LeaderVisits.Today,FN.LeaderVisits.Today.Why,FN.LeaderVisits.DUMMY,FN.MaterialSupport.Post2011,MaterialSupport.Types,FN.Leader.LocalInterests,FN.MaterialSupport.DUMMY,FN.MP2016,FN.Maire,FN.ConseilRegional,FN.OtherPosition,FN.PoliticalPosition.DUMMY,Respondent.Profession,Respondent.Religion,Respondent.Ethnicity,Respondent.Education,Comprehension,Sincerity,Knowledge,ServiceAccess.Index2,Anypostwarinfluence,Ethnicity.Northern,Combat.DUMMY,Recruitment.DUMMY,Postwarinfluence.Index,FN.Organizedmeetings.DUMMY,Leaders.Cooperated.DUMMY,Predation.Index,CivilianViolence.DUMMY,Pillage.DUMMY,Tensions.DUMMY,CollaborativeGov,EliteSupport,Servicespost2011.DUMMY,Postwarinfluence.Index2,RDRindex,LPOP,BLOCKindex,FN.Governance.Index2,mining.DUMMY,LPOP2,spectrum,NAME2,commanderlocal.DUMMY,comzones,northern,pauv,harm_index_hh1,distance,victim,joined,taxed,supportFN_2,supportPROGOV,supportARMY,order
Vavoua,Bazra-Nattis,39218,105,34.1,51.2,45.6,RDR,51.2,116,41.7,36.9,19.6,RDR,36.9,NA,NA,NA,Gouro,1,1,no,no,no,yes,yes,no,2,no,2002,Camp militaire,"Ibrahim Coulibaly, Inza (""chef de poste"")",no,yes,Senoufo,Militaire,moins de cinquante,yes,Nord,"dozos, forces impartiales",no,n/a,n/a,n/a,yes,les humeurs des elements,moins de vingt,yes,"FN, personnes de la communauté",yes,no,n/a,n/a,yes,don't know,yes,"chefs traditionnels, politiciens locaux, commercants, enseignants, personnel de sante","FN, dozos",FN,FN,"enseignants professionnels, enseignants volontaires",0,FN,1,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, impots au marché",jamais,n/a,yes,maintenir l'ordre,yes,barrages routiers,yes,maintenir l'ordre,yes,barrages routiers,1,"Oui, au moins chaque mois",visite de nature privée,"Oui, au moins chaque mois",visite de nature privée,1,no,n/a,no,0,no,no,no,no,0,chef de village,catholique,Gouro,CEPE,pas de difficultes,très sincere,bonne connaissance,4,1,0,0,1,1,1,0,2,1,1,0,0,0,1,2,44.05,10.5768911,44.05,3,1,10.5768911,2,Bazra-Nattis,0,0,0,NA,NA,0.390273408,0.614285714,0.457142857,0.557142857,0.014285714,0.014285714,0.071428571,1.014285714
Vavoua,S�itifla,93430,107,30.7,34,46.2,PDCI,46.2,116,41.7,36.9,19.6,RDR,36.9,NA,NA,NA,Gouro,0,0,no,no,no,yes,yes,no,2,yes,2002,Camp militaire,"Bogadougou, Diawara (""commandant de poste"")",no,yes,Mossi,cuisinier,moins de cinquante,yes,Nord,none,no,n/a,n/a,n/a,yes,mauvaise comportement de FN,moins de vingt,yes,FN,no,no,n/a,n/a,no,n/a,yes,"chefs traditionnels, religieux, commercants, enseignants","FN, forces impartiales",FN,FN,enseignants volontaires,0,personnels de sante profesionnels,0,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, impots au marché",occasionellement,mauvais comportement de FN,yes,maintenir l'ordre,yes,barrages routiers,yes,maintenir l'ordre,yes,barrages routiers,1,"oui, au moins chaque mois",visite de nature militaire,no,n/a,1,no,n/a,no,0,no,no,no,no,0,president des jeunes,aucune ,Gouro,BEPC,pas de difficultés,très sincere,bonne connaissance,4,1,0,0,1,1,0,0,3,1,1,1,0,0,1,2,35.45,11.44496777,41.55,2,0,11.44496777,0,S�itifla,0,0,0.09375,0.65,2.352941176,NA,0.614285714,0.457142857,0.557142857,0.014285714,0.014285714,0.071428571,1.014285714
Séguéla,Kamalo,9783,205,68.9,80.7,18.4,RDR,80.7,184,41,38.5,14.9,Independen,43.7,37406,44296,0.844455,Malinké,0,0,no,no,no,yes,no,no,1,yes,2002,Barrage,don't know,don't know,yes,autochthones (malinke),Militaires,moins de cinquante,yes,"Bouaké, Nord",dozos,yes,FN-FDS,2002,moins de vingt,yes,viol,moins de vingt,yes,FN,no,yes,mediation,chefs traditionnels,no,n/a,yes,"politiciens locaux, enseignants, personnel de sante","chefs traditionnels, dozos, autres personnes puissantes dans la communauté",FN,"FN, dozos","enseignants volontaires, parents",0,personnels de sante volontaires,0,personne,Personne,yes,"directement des commercants, laisser-paisser, barrages routiers, licences pour les taxis, impots sur les places au marche",occasionellement,"Taxation, mauvais comportement de FN",no,n/a,no,n/a,no,n/a,no,n/a,0,no,n/a,no,n/a,0,no,n/a,no,0,no,no,no,no,0,Focus group (village heads),focus group (village heads),Malinké (?),focus group (village heads),Quelques difficultes ,Partiellement sincere,Connaissance moyenne,3,0,1,1,1,0,0,1,3,1,1,1,0,0,0,0,59.6,9.188401464,62.2,1,0,9.188401464,0,Kamalo,0,0,0.083333333,NA,NA,0.787031919,0.6,0.733333333,0.433333333,0,0,0,1.533333333
Bouaké,Bouak� Nord,NA,60,42.2,63.4,29.3,RDR,63.4,151,43.5,16.6,22.3,Independen,49.8,83059,170567,0.486958,Malinké,0,1,yes,yes,yes,yes,yes,yes,6,yes,2002,Camp militaire,"Cherif Ousmane, Tuo Fozie, Kas, Wattao, Bamba",no,yes,"Malinké, CEDEAO, Baoulé","Mechaniciens, chauffeurs ",plus de deux-cent,no,"Nord, CEDEAO","dozos, forces impartiales",no,n/a,n/a,n/a,no,n/a,n/a,missing,missing,yes,yes,"mediation, public services","politiciens locaux (maire de Bouaké), religieux (imams), chefs traditionnels, leaders de la société civile (ONG) ",no,n/a,yes,"politiciens locaux, enseignants (une partie)","FN, chefs traditionnels en coopération avec les dozos, forces impartiales","FN (avec intérmediation des religieux), chefs traditionnels","FN, dozos","chefs traditionnels, enseignants volontaires, acteurs intérnationaux",0,"personnels de sante professionels, acteurs internationaux",0,personne,autre personnes puissante dans la communauté,yes,"laisser-passer, barrages routiers,  licences pour les taxis, impots au marché ",jamais,n/a,no,n/a,no,n/a,no,n/a,no,n/a,0,yes,missing,yes,missing,1,yes,"Dons/offres à des particuliers.( Avant 2011, dans les cas de mariage ou de bapteme, ou de deces les gens de FN faisaient des dons en argent. Maintenant ils s agit seulement de cas de leurs anciens elements. Aujourdui cela est fait en cachette. Les elements de Cherif et Wattao continuent a controler bcp de gens a Bouake, quand il y a des troubles a Bouaké, i.e. mutinerie, ils viennent parler a leurs elements ",missing,1,yes,yes,no,Leader communautaire,1,Travailleur manuel,Islam,Malinké,CEPE,Quelques difficultés dans la comprehension,Très sincere,Connaissance moyenne,8,1,1,0,1,3,1,1,0,0,0,0,0,0,0,3,40,NA,56.6,2,0,13.19224199,1,Bouak�,0,1,NA,NA,NA,NA,0.466666667,0.588888889,0.377777778,0.122222222,0.077777778,0.288888889,1.322222222
Bouaké,Bouak� Ouest,NA,60,42.2,63.4,29.3,RDR,63.4,151,43.5,16.6,22.3,Independen,49.8,83059,170567,0.486958,Baoulé,0,1,yes,yes,yes,yes,yes,yes,6,no,2002,Camp militaire,"Le commandant David, Loss",no,yes,Malinké,"Militaires, chauffeurs, médiciens (recrutés de force)",entre cinquante et cent,yes,"Nord, CEDEAO, Bouaké",forces impartiales,yes,FN-FDS,2002,moins de vingt,yes,Ethnic (Conflit intercommunautaire (baoulé contre malinkés) ou les FN ont pris partie),moins de vingt,yes,"FN, personnes de la communauté, criminels",yes,yes,"mediation, public services, political support","autre (societé civile), association de jeunes, chefs traditionnels, religieux",yes,"politiciens locaux, chefs traditionnels",yes,"religieux, politiciens locaux, commerçants et hommes/femmes d’affaires (baoulés), enseignants, leaders de la société civile (ceux qui etaient du « mauvais bord)","FN, vigilantes (non armés) encadrés par chefs traditionnels, religieux",FN,personne,"enseignants volontaires, ONG locale, FN, acteurs internationaux",1,"FN, personnels de sante professionels, acteurs internationaux",1,personne,FN (support available only to pro-RDR traders),yes,"directement des commerçants, laisser-passer, barrages routiers, licences pour les taxis, impots au marché",occasionellement,"Questions de terre/propriete, questions ethniques, divergence d opinion politique",no,n/a,no,n/a,no,n/a,no,n/a,0,yes,"Cérémonies publiques de nature religieuse ou nationale (i.e. Ramadan, Fête de l'Indépendance, etc),        Cérémonies de nature privée (i.e. funérailles, mariages),        Visite de nature privée (i.e. membres de la famille, amis) (colonel Sinima Bamba)",yes,"Cérémonies publiques de nature religieuse ou nationale (i.e. Ramadan, Fête de l'Indépendance, etc), Visite de nature privée (i.e. membres de la famille, amis) (colonel Bamba)",1,yes,Dons/offres à la communauté ,missing,1,yes,yes,no,Fonctionnaire,1,Coiffeur,Islam,Malinké (Mau),BEPC,Pas de difficultés dans la comprehension,Très sincere,Bonne connaissance,8,1,0,1,1,3,1,1,3,1,1,1,1,1,0,3,40,NA,56.6,4,0,13.19224199,2,Bouak�,0,1,NA,NA,NA,NA,0.466666667,0.588888889,0.377777778,0.122222222,0.077777778,0.288888889,1.322222222
Bouaké,Bouak� Centre,NA,60,42.2,63.4,29.3,RDR,63.4,151,43.5,16.6,22.3,Independen,49.8,83059,170567,0.486958,Malinké,0,1,yes,yes,yes,yes,yes,yes,6,yes,2002,Camp militaire,Konate Daouda,no,yes,"Malinke, Yacouba",Militaires ,entre cinquante et cent,no,"Abidjan, ne sait pas",none,yes,"FN-FDS, FN-FN","2002, 2005",don't know,no,n/a,n/a,no,n/a,missing,yes,"mediation, public services, political support","religieux, commercants, enseignants, leaders de societe civile, leaders d'associations de jeunes",no,n/a,yes,"chefs traditionnels, politiciens locaux, enseignants",FN ,personne,FN ,"FN, enseignants volontaires, ONG locale, autres personnes puissantes dans la communaute, acteurs internationaux",1,"FN, personnels de santé professionels, acteurs internationaux",1,personne,personne,yes,"directement des commerçants, barrages routiers, impots au marché",jamais,n/a,no,n/a,no,n/a,no,n/a,no,n/a,0,yes,"visite privee, visite militaire",yes,"visite privee, visite militaire",1,yes,"argent de poche, nourriture, riz, sucre",missing,1,yes,no,no,no,1,fonctionnaire de l'administration locale,Islam,Malinke,Enseignement secondaire acheve (technique),Quelques difficultés dans la comprehension,Très sincere,connaissance moyenne,8,1,1,1,1,3,0,1,0,0,0,0,1,1,0,3,40,NA,56.6,4,0,13.19224199,1,Bouak�,0,1,NA,NA,NA,NA,0.466666667,0.588888889,0.377777778,0.122222222,0.077777778,0.288888889,1.322222222
Biankouma,Blapleu,14750,190,50.8,NA,NA,UDPCI,66.9,102,54.9,31.8,NA,UDPCI,68.2,3526,31964,0.110312,Yacouba,0,0,no,no,no,yes,yes,no,2,no,2002,Camp militaire,"""Bava""",no,no,n/a,n/a,n/a,yes,"Nord, CEDEAO","milices locales, dozos, forces impartiales",no,n/a,n/a,n/a,yes,"Pillages, Mauvais comportement des elements FN",entre vingt et cinquante,yes,"FN, Autres groupes armé",don't know,no,n/a,n/a,no,n/a,yes,"chefs traditionnels, religiuex, politiciens locaux, commercants, enseignants, personnel de sante, autres fonctionnaires",personne,personne,personne,enseignants volontaires,0,personnels de santé volontaires,0,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, impots au marché, autre (force)",frequemment,"taxation, mauvais comportement des elements FN",no,n/a,yes,barrages routiers,no,n/a,no,n/a,1,no,n/a,no,n/a,0,no,n/a,no,0,no,no,no,no,0,Fonctionnaire à la retraite,Islam,Yacouba,BEPC,Beaucoup de difficultés dans la compréhension,Partiallement sincère,Connaissance moyenne,4,1,0,0,0,0,0,0,4,1,1,1,0,0,0,0,NA,9.598998362,67.55,0,0,9.598998362,-1,Blapleu,0,0,0,NA,NA,0.50994922,0.45,0.25,0.4,0.35,0.05,0.3,1.95
Man,Gbangb�gouin�-Y,10068,196,41.5,14.2,10.8,Independent,51.3,108,60.1,48.8,NA,RDR,48.8,20891,88288,0.236623,Yacouba,0,1,no,no,no,yes,no,no,1,no,2002,Barrage,"""gin sal""",no,yes,"Yacouba, CEDEAO",Militaires,entre cinquante et cent,yes,"Nord, Liberia",forces impartiales,yes,FN-FDS,2002,don't know,yes,"viol, pillage",entre cinquant et cent,yes,"FN, mercenaires liberiens",no,yes,"mediation, public services","chefs traditionnels, leaders de la sociéte civile",no,n/a,yes,"chefs traditionnels, religieux, politiciens locaux, commercants, enseignants, personnel de sante, autres fonctionnaires",FN,FN,"FN, forces impartiales","enseignants volontaires, acteurs internationnaux",0,"personnels de santé volontaires, ONG locale, acteurs internationaux",0,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, impots au marché, autre (force)",frequemment,mauvis comportement de certains elements de la FN,no,n/a,no,n/a,no,n/a,no,no,0,no,n/a,no,n/a,0,no,n/a,no,0,no,no,no,no,0,cultivateur,aucune,yacouba,CEPE,pas de difficulté,sincère,bonne connaissance,3,0,0,1,1,0,0,1,4,1,1,1,0,0,0,0,31.5,9.217117356,50.05,2,0,9.217117356,-1,Gbangb�gouin�-Y,0,0,0.230769231,NA,NA,NA,0.44,0.36,0.4,0.1,0.06,0.32,2.02
Man,Sangouin�,36832,196,41.5,14.2,10.8,Independent,51.3,108,60.1,48.8,NA,RDR,48.8,20891,88288,0.236623,Yacouba,0,1,no,yes,yes,yes,yes,no,4,yes,2002,Camp militaire,"Lan Andre (MPIGO), Kassero Lamin (MPCI then FAFN comsecteur)",no,yes,"Yacouba, Dioula",Militaires,plus de deux-cent,yes,"Nord, Liberia","milices locales, dozos, forces impartiales",yes,FN-FDS,2003,plus de cent,yes,"collateral damage, mauvaise comportement de Liberiens",plus de cent,yes,"FN, Liberian mercenaries",yes,yes,"mediation, public services","chefs traditionnels, religieux, leaders de la société civile, leaders d'associations de jeunes, autres fonctionnaires (adjoint au maire)",yes,chefs traditionnels,yes,"chefs traditionnels, religieux, politiciens locaux, commercants, enseignants, personnel de sante, autres fonctionnaires, leaders de la societe civile","FN, forces impartiales",FN,"FN, forces impartiales","enseignants volontaires, acteurs internationaux, autre (mairie)",0,"personnels de santé volontaires, acteurs internationaux",0,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, licences pour les taxis, impots au marché",frequemment,"mauvais comportement de FN, conflits d'autorite entre leaders des FN et d'autres personnes importants dans la communaute",no,n/a,no,n/a,no,n/a,no,n/a,0,"Oui, moins fréquemment que chaque mois mais plus que deux fois par an","Cérémonies de nature privée, Visite chez des membres des élites communautaires, Visite de nature privée","Oui, moins fréquemment que chaque mois mais plus que deux fois par an","Cérémonies de nature privée, Visite chez des membres des élites communautaires, Visite de nature privée",1,yes,Dons/offres à la communauté,yes,1,no,yes,don't know,Fonctionnaire de la mairie,1,Maire,Catholique,Yacouba,Université achevée,Pas des difficultés,Partiellement sincère,Bonne connaissance,6,1,0,1,1,3,1,1,4,1,1,1,1,0,0,3,31.5,10.51412231,50.05,2,0,10.51412231,0,Sangouin�,0,0,0.043478261,0.5,4.263157895,NA,0.44,0.36,0.4,0.1,0.06,0.32,2.02
Béoumi,B�oumi,73475,56,49.2,17.8,25.5,Independent,56.9,147,48.1,NA,19.7,Independen,32.8,4006,30874,0.129753,Baoulé,0,1,yes,yes,no,yes,no,no,2,no,2002,Camp militaire,"CO Bamba Moustafa, Garamote",yes,yes,Malinké,"Militaires, Mecaniciens",entre cent et deux-cent,yes,"Bouaké, Korhogo, Burkina Faso, Mali, Seguela, Boundiali",dozo,no,n/a,n/a,n/a,yes,"False accusations, theft, poor leadership, problemes d'eleveurs",entre cinquant et cent,missing,missing,missing,yes,missing,"chefs traditionnels, religieux, leaders de la société civile, leaders d'associations de jeunes, dozos",no,n/a,yes,"religieux, politiciens locaux, commercants, enseignants","FN, forces impartiales","FN, chefs traditionnels","FN, forces impartiales","enseignants volontaires, FN, ONG locale (Ecole pour Tous)",1,"personnels de santé professionels, FN, ONG locales, autre (Forces Francaises, Etat ivoirien)",1,personne,autre personnes puissante dans la communauté (commercants privés),yes,"directement des commercants, laisser-passer, barrages routiers, licences pour les taxis, impots au marché",occasionellement,"Questions de terre/propriete, mauvaise comportement des elements FN, autre",yes,maintenir l'ordre,no,n/a,yes,maintenir l'ordre,no,n/a,0,missing,missing,missing,missing,1,no,n/a,missing,0,no,no,no,Controler,1,Fonctionnaire à la retraite,Catholique,Baoulé,BEPC,Pas des difficultés,Très sincere,,4,1,0,0,1,2,0,1,2,1,0,1,0,0,1,3,NA,11.20470049,44.85,4,0,11.20470049,1,B�oumi,1,0,0.22,0.316666667,4.914893617,NA,0.733333333,0.533333333,0.6,0.133333333,0,0.033333333,1.4
Danané,Daleu,34308,193,45.4,26.2,3.97,UDPCI,34.6,105,51.7,42,12.2,RDR,42,7673,55982,0.137062,Yacouba,0,0,no,no,yes,yes,yes,no,3,yes,2002,Camp militaire,"Capitaine Eddy Meddi (""commandant de secteur"")",no,yes,"Yacouba, Malinké",don't know,moins de cinquante,no,Nord,"dozos, forces impartiales",no,n/a,n/a,n/a,yes,"reglement de  litiges, pillages, vol des FN",plus de cent,yes,FN,no,yes,"mediation, public services, political support",autre (fonctionnaires),no,n/a,yes,"politiciens locaux, enseignants, personnel santé, autres fonctionnaires",FN,FN,personne,"enseignants professionnels, enseignants volontaires",0,acteurs internationaux,0,personne,personne,no,n/a,jamais,n/a,no,n/a,yes,barrages routiers,no,n/a,no,n/a,1,no,n/a,"oui, il vient moins frequemment que chaque mois mais plus que deux fois par an",visite de nature privée,1,don't know,n/a,yes,0,no,no,no,no,0,enseignant,catholique,Yacouba,CEPE,pas de difficultés,partiellement sincère,Bonne connaissance,5,1,0,0,1,1,0,1,2,1,1,0,1,1,0,1,34.1,10.44313384,38.3,1,0,10.44313384,0,Daleu,0,0,0,NA,NA,0.45680096,0.625,0.325,0.475,0.125,0.125,0.275,1.175
Sipilou,Sipilou,22417,192,74.7,7.93,NA,Independent,38.3,104,66.3,43.1,NA,RDR,43.1,NA,NA,NA,Yacouba,1,0,yes,yes,yes,yes,yes,no,5,yes,2002,Camp militaire,"Zoom, Zoulou, Soro Siaka (comsecteur)",no,yes,"Yacouba, Melage",Militaires,plus de deux-cent,no,Nord,"milices locales, forces impartiales",no,n/a,n/a,n/a,yes,"mauvaise comportement, taxation",plus de cent,yes,"FN, autres groups arme organise (Liberiens)",yes,yes,"mediation, public services",chefs traditionnels,no,n/a,yes,"enseignants, personnel de sante, autres fonctionnaires, autres (douanes)",FN,chefs traditionnels,FN,"enseignants volontaires, acteurs internationaux",0,"personnels de sante benevole, acteurs internationaux",0,FN,personne,yes,"directement des commercants, laisser-passer, barrages routiers, licences pour les taxis, impots au marche",occasionellement,"taxation, questions de terre, mauvaise comportement",yes,maintenir l'ordre,no,n/a,no,n/a,no,n/a,0,yes,"ceremonies de nature religieuse ou nationale, ceremonies publiques de nature politique, ceremonies de nature privee, visite chez des membres des elites communautaires, visite de nature privee",yes,"ceremonies de nature religieuse ou nationale, ceremonies publiques de nature politique, ceremonies de nature privee, visite chez des membres des elites communautaires, visite de nature privee",1,yes,"dons/offres a la communaute, dons/offres a des particuliers",yes,1,no,no,no,2 elements at mairie,1,"chef de canton, chef de village",Islam,Yacouba,Baccalaureat,pas de difficultes,partiellement sincere,bonne connaissance,7,1,0,0,1,3,1,1,3,1,1,1,0,0,1,4,25.515,10.01757488,40.7,3,1,10.01757488,2,Sipilou,0,0,0.076923077,NA,NA,0.798695493,0.1,0.2,0,0,0.1,0.3,2.6
Sipilou,Yorodougou,19451,192,74.7,7.93,NA,Independent,38.3,104,66.3,43.1,NA,RDR,43.1,NA,NA,NA,Yacouba,1,0,no,no,yes,yes,no,no,2,yes,2003,Barrage,"Zoom, Zoulou, Soro Siaka (comsecteur)",no,yes,"Yacouba, Lobi, Melange",Militaires,moins de cinquante,no,Nord,autres (liberiens),yes,"Liberiens, FN",2007,don't know,no,n/a,n/a,yes,autres groups arme organise (Liberiens),yes,no,"mediation, public services",chefs traditionnels,no,n/a,yes,"religieux, politiciens locaux, commercants, enseignants, personnel de sante, autres fonctionnaires","FN, chefs traditionnels","FN, chefs traditionnels",FN,"enseignants professionnels, enseignants volontaires",0,"personnels de sante professionnel, personnels de sante benevole",0,FN,personne,yes,impots sur les places au marche,occasionellement,mauvais comportement de certains elements des FN,no,n/a,no,n/a,no,n/a,no,n/a,0,yes,"visite de nature militaire, ceremonies publique de nature religieuse ou nationale, visite chez des membres des elites communautaires",yes,"visite de nature militaire, ceremonies publique de nature religieuse ou nationale, visite chez des membres des elites communautaires",1,no,n/a,yes,0,no,no,no,autre (agent de mairie a Sipilou),1,cheferie,autre (animiste),Yacouba,n/a,quelques difficultes,tres sincere,bonne connaissance,4,1,0,1,1,2,1,0,2,0,1,1,1,0,0,2,25.515,9.875653762,40.7,3,1,9.875653762,2,Yorodougou,0,0,0.545454545,NA,NA,0.786016473,0.1,0.2,0,0,0.1,0.3,2.6
Biankouma,Kpata,6741,190,50.8,NA,NA,UDPCI,66.9,102,54.9,31.8,NA,UDPCI,68.2,3526,31964,0.110312,Toula,0,0,no,no,no,yes,yes,no,2,no,2002,Barrage,same as Biankouma,no,no,n/a,n/a,n/a,yes,"Nord, CEDEAO, Liberia","dozo, forces impartiales",yes,FN-population,"2002, 2003",don't know,yes,"mauvaise comportement, vol, taxation",plus de cent,yes,FN,no,yes,mediation,chefs traditionnels,no,n/a,yes,"politiciens locaux, commercants, enseignants, personnel de dante, autres fonctionnaires, leaders de la societe civile",autre (jeunes),chefs traditionnels,autre (jeunes),"enseignants volontaires, acteurs internationaux, parents",0,"personnels de santé volontaires, autres personnes puissantes dans la communaute",0,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, impots au marché",frequemment,"taxation, questions de terre/properiete, mauvais comportement de FN",no,n/a,yes,barrages routiers,no,n/a,no,n/a,1,no,n/a,no,n/a,0,no,n/a,no,0,no,no,don't know,don't know,0,N/A (group interview),Animiste,Toula,N/A (group interview),Quelques difficultés ,Très sincère,Connaissance moyenne,4,1,0,1,0,0,0,1,4,1,1,1,0,0,0,0,NA,8.815963561,67.55,0,0,8.815963561,-1,Kpata,0,0,NA,NA,NA,0.764459219,0.45,0.25,0.4,0.35,0.05,0.3,1.95
Mankono,Mankono,64330,25,57.5,87.1,NA,RDR,87.1,176,44.9,71.4,NA,RDR,71.4,38704,47697,0.811456,Malinké,0,1,yes,yes,yes,yes,yes,yes,6,yes,2002,Camp militaire,"Dosso n'gobah, siaka ouattara, schikitou, toungara(malien), ouattara zoumana",yes,yes,"Malinké, burkinabe, senoufo","Militaires, activités politiques",plus de deux-cent,yes,"Nord, district des savanes, burkina faso, mali",missing,no,n/a,n/a,n/a,yes,"viols, vengence, execution sommaire",plus de cent,yes,FN,yes,yes,"mediation, public services, political support","chefs traditionnels, religieux, leaders de la societe civile, leaders d'associations de jeunes",no,n/a,yes,"politiciens locaux, commerçants, enseignants, personnel de santé, autres fonctionnaires",FN,personne,FN,"FN, enseignants volontaires, ONG locales (Ecole pour Tous)",1,"religieux, personnels de santé volontaires, acteurs internationnaux",0,personne,personne,yes,"directement des commercants, laissez passer, impots au marché",occasionellement,mauvais comportement de certains éléments de la FN,yes,"secteur educatif, infrastructures",no,n/a,yes,"secteur educatif, infrastructures",no,no,0,yes,"Cérémonies publiques de nature religieuse ou nationale, Cérémonies de nature privée, Visite chez elites communautaires, visite privée",yes,"Cérémonies publiques de nature religieuse ou nationale, Cérémonies de nature privée, Visite chez elites communautaires, visite privée",1,yes,"dons a la communauté, a des particuliers, aux démobilisés",yes,1,yes,no,no,"Leader communautaire, Fonctionnaire, Dirigeant d’une ONG 
",1,sans emploi,musulman,koyaka,pas d'enseignement formel achevée,pas de difficulté dans le comprehension,tres sincère,bonne connaissance,8,1,1,0,1,3,1,1,3,1,1,1,1,1,1,4,79.25,11.07178136,79.25,3,0,11.07178136,2,Mankono,1,1,0.18,0.320512821,2.457627119,0.579850011,0.45,0.5,0.5,0.05,0,0,1.45
Botro,Diabo,26272,59,52.4,NA,72,PDCI,72,150,54.8,NA,48.3,Independen,51.7,NA,NA,NA,Baoulé (Bru),0,1,no,yes,no,yes,missing,missing,2,yes,2002,Camp militaire,Soualio,no,yes,"Baoulé, Dioula","Militaires, guides",moins de cinquante,yes,don't know,none,no,n/a,n/a,n/a,yes,"Pillages, conflict over property, women",plus de cent,yes,FN,missing,yes,"mediation, public services","chefs traditionnels, commercants",no,n/a,yes,"chefs traditionnels, politiciens locaux, commercants, enseignants, leaders de la societe civile",FN,FN,FN,"FN, enseignants volontaires, ONG locale, acteurs internationaux",1,"personnels de santé professionels, acteurs internationaux",0,autre (volontaires),personne,yes,"directement des commercants, laisser-passer, barrages routiers, licences pour les taxis, impots au marché",occasionellement,"taxation, mauvais comportment des elements FN",no,n/a,yes,barrages routiers,no,n/a,yes,barrages routiers,1,missing,missing,missing,missing,0,don't know,missing,missing,0,no,no,no,Guarde municipale (intervenes with problems of security),1,Fonctionnaire de maire,Catholique,Baoulé,4eme niveau,Pas des difficultés,Partiellement sincere,Bonne connaissance,4,1,0,0,1,1,0,1,3,1,1,1,0,0,0,1,NA,10.17625901,61.85,3,0,10.17625901,1,Diabo,0,0,0,0.631578947,2.6875,0.300912575,NA,NA,NA,NA,NA,NA,NA
Touba,Foungbesso,18033,12,73.6,19.6,7.42,RDR,19.6,172,48.5,42.3,32.9,RDR,42.3,21561,31623,0.681814,Maou,0,1,no,no,no,yes,no,no,1,yes,2002,Barrage,don't know,no,yes,Maou,Militaires,moins de cinquante,yes,Nord,"dozos, forces impartiales",yes,FN-FDS,2002,don't know,yes,le comportement des FN,don't know,yes,FN,yes,yes,"mediation, public services","chefs traditionnels, leaders d'associations de jeunes",no,n/a,yes,autres fonctionnaires,"FN, autres personnes puissantes dans la communauté","FN, chefs traditionnels","FN, dozos","enseignants professionels, enseignants volontaires, acteurs internationaux",0,personnels de santé professionels,0,personne,personne,yes,"laisser-passer, barrages routiers, licences pour les taxis",occasionellement,mauvais comportements de certains éléments FN,no,n/a,no,n/a,no,n/a,no,n/a,0,no,n/a,no,n/a,0,no,n/a,no,0,no,no,no,no,0,president de la jeunesse,Islam,Maou,CEPE,pas de difficulté,tres sincere,bonne connaissance,3,0,0,1,1,0,1,1,3,1,1,1,1,0,0,0,30.95,9.799958692,30.95,2,0,9.799958692,1,Foungbesso,0,0,0.138888889,NA,NA,0.885848131,NA,NA,NA,NA,NA,NA,NA
