psraid,sample,cnvtsmp,lang,form,usr,usr1,cregion,density3,qs1,rsex,DriverText,DriverDanger,TeenText,TeenTalked,RegretText,Monitored,Spam,SleptPhone,Harassed,SendSext,ReceiveSext
104802,1,1,1,2,U,1,4,2, ,2,N,Y,Y,Y,2,2,2,1,2,2,2
104823,1,1,1,1,R,3,4,1, ,2,Y,Y,Y,Y,1,2,2,1,1,2,2
104897,1,1,1,2,U,1,4,3, ,2,N,N,Y,Y,2,2,1,1,2,2,1
104933,1,1,1,1,U,1,1,5, ,2,N,Y,Y,Y,2,2,2,2,2,2,2
105037,1,1,1,1,S,2,2,4, ,1,Y,Y,Y,Y,2,2,2,1,2,2,2
105113,1,1,1,2,R,3,2,1, ,2,N,N,Y,Y,2,2,2,2,2,2,2
105168,1,1,1,1,U,1,2,5, ,2,N,N,Y,Y,1,2,1,1,1,2,2
105238,1,1,1,1,S,2,1,5, ,2,N,Y,Y,Y,1,2,1,1,1,2,1
105306,1,1,1,2,U,1,2,1, ,1,N,N,Y,N,2,2,2,1,2,2,2
105311,1,1,1,2,S,2,3,5, ,1,N,Y,Y,Y,1,2,1,1,1,2,1
105342,1,1,1,1,S,2,4,3, ,2,N,Y,Y,Y,1,2,2,1,2,2,2
105493,1,1,1,1,S,2,3,5, ,1,Y,Y,Y,N,2,2,2,1,2,2,2
105886,1,1,1,2,R,3,3,2, ,2,N,Y,Y,Y,1,2,1,1,2,2,2
105938,1,1,1,1,S,2,3,1, ,2,Y,Y,Y,Y,2,1,2,2,2,2,2
105943,1,1,1,1,R,3,3,1, ,1,N,Y,Y,Y,1,2,1,1,2,1,1
106156,1,1,1,1,S,2,2,5, ,2,N,N,Y,Y,1,2,1,1,1,1,1
106261,1,1,1,2,R,3,3,2, ,2,Y,Y,Y,Y,2,2,1,1,2,2,2
106323,1,1,1,1,U,1,3,4, ,2,Y,Y,Y,Y,2,2,1,1,2,2,2
106416,1,1,1,2,R,3,3,1, ,1,N,N,Y,N,1,2,1,1,1,2,2
106490,1,1,1,2,S,2,1,2, ,2,N,N,Y,Y,1,2,1,1,2,2,2
106831,1,1,1,2,U,1,4,1, ,1,N,N,Y,Y,2,2,2,1,2,2,2
106833,1,1,1,1,S,2,4,1, ,2,Y,Y,Y,Y,1,8,1,1,1,2,1
106933,1,1,1,1,U,1,3,3, ,2,Y,Y,Y,N,2,8,2,1,2,2,2
107326,1,1,1,1,R,3,3,1, ,2,N,Y,Y,Y,2,1,1,1,1,2,2
107365,1,1,1,1,S,2,1,5, ,1,Y,N,Y,Y,2,2,2,1,2,2,2
107367,1,1,1,1,S,2,3,2, ,2,N,Y,Y,Y,2,2,1,1,2,2,2
107369,1,1,1,2,R,3,2,1, ,2,N,N,Y,Y,2,2,1,1,2,2,2
107386,1,1,1,2,S,2,1,4, ,2,N,N,Y,Y,1,1,1,1,2,2,2
107907,1,1,1,2,S,2,1,4, ,1,Y,N,Y,Y,2,1,1,1,1,2,2
107939,1,1,1,2,R,3,4,1, ,2,Y,Y,Y,Y,2,1,2,1,2,2,2
107957,1,1,1,1,R,3,3,1, ,1,Y,Y,Y,Y,1,8,2,1,1,2,2
107989,1,1,1,1,U,1,3,4, ,2,N,N,Y,Y,2,2,2,1,1,2,2
108084,1,1,1,2,S,2,4,3, ,1,N,N,Y,N,2,2,2,1,2,2,2
108349,1,1,1,2,U,1,4,5, ,1,N,N,Y,Y,2,2,1,2,2,2,2
108671,1,1,1,1,S,2,2,1, ,1,N,Y,Y,N,1,1,1,1,1,1,1
108752,1,1,1,1,S,2,1,4, ,2,Y,N,Y,Y,2,8,1,1,2,2,2
108777,1,1,1,2,S,2,1,5, ,1,N,N,Y,Y,2,2,1,1,1,2,2
109157,1,1,1,1,U,1,4,1, ,1,Y,N,Y,N,2,2,1,1,1,2,1
109496,1,1,1,2,S,2,1,4, ,1,Y,N,Y,Y,1,2,2,1,2,2,2
109706,1,1,1,1,S,2,3,3, ,1,N,N,Y,Y,1,2,1,1,2,2,2
109769,1,1,1,1,S,2,3,4, ,2,Y,Y,Y,Y,2,2,1,1,2,2,2
109936,1,1,1,2,S,2,1,4, ,1,Y,Y,Y,Y,2,2,2,1,2,2,2
110022,1,1,1,1,U,1,4,2, ,2,Y,Y,Y,Y,2,2,2,2,2,2,2
110041,1,1,1,2,S,2,4,3, ,1,N,N,Y,N,2,2,2,1,2,2,2
110138,1,1,1,1,S,2,2,3, ,2,Y,Y,Y,N,2,2,1,1,2,2,2
110357,1,1,1,1,R,3,3,2, ,2,N,N,Y,N,2,2,1,1,1,2,2
110388,1,1,1,1,R,3,2,1, ,2,N,N,Y,Y,1,2,1,1,1,1,1
110428,1,1,1,1,S,2,4,4, ,2,N,N,Y,N,2,2,1,1,2,2,2
110435,1,1,1,2,U,1,4,3, ,1,N,N,Y,Y,2,2,1,2,2,2,2
110440,1,1,1,1,S,2,2,2, ,2,Y,Y,Y,N,2,2,1,2,2,1,1
110621,1,1,1,1,U,1,4,5, ,2,N,Y,Y,Y,2,2,2,1,2,2,2
110775,1,1,1,1,S,2,2,3, ,1,Y,N,Y,Y,2,2,2,2,2,2,2
110996,1,1,1,1,S,2,2,3, ,2,N,Y,Y,N,2,2,1,1,2,2,2
111059,1,1,1,1,S,2,2,4, ,2,N,N,Y,Y,1,2,1,1,1,2,1
111072,1,1,1,2,S,2,4,3, ,2,Y,Y,Y,Y,1,1,2,1,2,2,2
111107,1,1,1,2,R,3,3,1, ,2,Y,Y,Y,N,2,2,1,1,2,2,2
111128,1,1,1,2,S,2,3,3, ,2,N,N,Y,N,1,2,1,1,1,2,1
111186,1,1,1,2,S,2,1,4, ,1,Y,Y,Y,Y,2,2,1,2,2,2,2
111199,1,1,1,2,S,2,1,3, ,2,N,Y,Y,Y,2,1,2,2,2,2,2
111505,1,1,1,2,S,2,1,4, ,1,N,N,Y,Y,1,2,1,1,2,2,1
111538,1,1,1,2,U,1,3,4, ,1,N,Y,Y,N,2,2,2,1,2,2,2
200029,2,2,1,2, , ,3,4,2,1,N,N,Y,Y,2,2,1,2,1,2,1
200120,2,2,1,2, , ,2,5,2,2,Y,Y,Y,Y,2,2,1,1,2,2,2
200155,2,2,1,1, , ,2,4,2,2,N,N,Y,Y,1,1,1,1,2,2,2
200278,2,2,1,2, , ,3,3,2,2,N,Y,Y,Y,2,2,2,1,2,2,2
200414,2,2,1,2, , ,2,5,2,2,N,N,Y,Y,1,2,2,1,1,2,1
200723,2,1,1,2,S,2,4,3,2,2,N,Y,Y,Y,2,8,1,1,2,2,2
200879,2,2,1,1, , ,3,2,2,2,N,Y,Y,Y,2,1,1,1,1,2,1
201387,2,2,1,1, , ,2,2,2,1,Y,Y,Y,Y,2,2,1,2,2,2,2
201556,2,2,1,1, , ,1,4,2,1,Y,Y,Y,N,1,2,2,1,2,2,1
201686,2,2,1,2, , ,2,1,2,2,Y,N,Y,Y,2,2,2,1,2,2,2
201860,2,2,1,2, , ,4,2,2,2,Y,Y,Y,Y,2,2,2,1,2,2,2
202120,2,2,1,1, , ,4,5,2,2,N,N,Y,Y,1,2,2,1,2,2,2
202675,2,2,1,2, , ,1,2,2,1,N,Y,Y,Y,2,2,2,2,2,2,2
202784,2,2,1,1, , ,3,1,2,1,Y,Y,Y,Y,2,2,2,1,2,2,2
202985,2,2,1,2, , ,1,4,2,2,N,N,Y,N,2,2,2,1,1,2,2
203299,2,2,1,1, , ,2,3,2,1,N,Y,Y,N,1,1,1,1,2,2,2
203316,2,2,1,1, , ,3,2,2,2,Y,N,Y,N,1,2,1,1,2,2,2
203711,2,2,1,2, , ,2,1,2,2,N,Y,Y,N,2,2,2,1,2,2,2
203753,2,2,1,1, , ,3,3,2,2,N,N,Y,N,1,2,1,1,1,1,1
203809,2,2,1,1, , ,2,5,2,1,N,N,Y,Y,2,2,1,1,1,2,2
203921,2,2,1,1, , ,2,5,2,2,N,Y,Y,N,2,2,2,1,2,2,2
204069,2,2,1,1, , ,2,1,2,1,N,N,Y,Y,1,2,1,1,1,2,2
204114,2,2,1,2, , ,2,2,2,1,Y,N,Y,N,2,1,1,1,2,2,2
204233,2,2,1,2, , ,3,1,2,1,N,Y,Y,N,2,2,1,1,2,2,2
204305,2,2,1,1, , ,4,4,2,2,N,N,Y,N,2,2,1,1,1,1,1
204651,2,2,1,1, , ,3,3,2,2,N,Y,Y,Y,2,2,2,1,2,2,2
204942,2,2,1,2, , ,2,1,2,2,Y,Y,Y,Y,2,2,2,1,2,2,2
205120,2,2,1,1, , ,4,2,2,1,Y,Y,Y,Y,2,1,2,1,2,2,2
205212,2,2,1,1, , ,1,3,2,1,N,N,Y,N,1,2,1,1,1,2,1
205233,2,2,1,2, , ,3,4,2,2,Y,Y,Y,Y,2,2,2,1,2,2,2
205287,2,2,1,2, , ,2,1,2,2,N,N,Y,N,2,2,1,1,2,2,2
205314,2,2,1,2, , ,1,3,2,2,Y,Y,Y,N,2,2,2,1,2,2,2
205488,2,2,1,1, , ,3,1,2,2,N,Y,Y,N,2,2,2,1,2,2,2
205544,2,2,1,1, , ,2,5,2,1,Y,Y,Y,Y,1,2,1,1,2,2,2
205562,2,2,1,2, , ,4,1,2,1,Y,Y,Y,Y,2,2,2,1,2,2,2
206226,2,2,1,2, , ,4,2,2,1,Y,Y,Y,Y,2,2,2,1,2,2,2
207149,2,2,1,1, , ,4,5,2,2,N,N,Y,Y,1,1,1,1,2,2,2
207407,2,2,1,2, , ,2,1,2,2,N,Y,Y,Y,1,2,2,1,1,1,1
207802,2,2,1,2, , ,3,3,2,2,N,N,Y,Y,1,2,2,1,1,2,2
