"date","weight","education","religiosity","political","income","gender","age","Year","letter","gun","physical","Direct_Violence","exclusion1","exclusion2","exclusion3","exclusion4","Exclusion","distancing1","distancing2","distancing3","distancing4","Distancing","threat1","threat2","threat3","threat","edu1","edu2","edu3","inc1","inc2","year03","year04","rel1","rel2","rel3","Cthreat","Cpol","Cgender","CpolXCgender","CthreatXCgender","leftist"
2005-05-15,0.42,NA,"religious","right",1,"M",20,2005,3,1,1,1.66666666666667,6,6,6,6,6,1,2,1,1,5.75,6,6,6,6,NA,NA,NA,1,0,0,0,0,0,0,2.27,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-15,0.746,NA,"religious","right",1,"M",58,2005,6,1,6,4.33333333333333,6,6,6,6,6,2,6,1,1,4.5,5,1,3,3,NA,NA,NA,1,0,0,0,0,0,0,-0.73,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-05,0.746,NA,"religious","center",1,"M",18,2005,1,1,1,1,1,6,1,NA,2.66666666666667,4,1,1,1,5.25,4,4,5,4.33333333333333,NA,NA,NA,1,0,0,0,0,0,0,0.603333333333333,NA,-0.53,0,0,"Non-Leftist"
2004-05-13,1.32,NA,"secular","center",NA,"M",61,2004,1,1,1,1,1,NA,1,6,2.66666666666667,6,6,4,4,2,2,2,3,2.33333333333333,NA,NA,NA,NA,NA,0,1,1,0,0,-1.39666666666667,NA,-0.53,0,0,"Non-Leftist"
2004-05-13,0.746,NA,"religious","center",1,"M",73,2004,6,1,4,3.66666666666667,6,6,6,6,6,5,1,1,1,5,1,6,6,4.33333333333333,NA,NA,NA,1,0,0,1,0,0,0,0.603333333333333,NA,-0.53,0,0,"Non-Leftist"
2004-05-12,1.32,NA,"secular","center",4,"M",20,2004,1,1,1,1,1,1,1,2,1.25,5,4,2,5,3,2,1,1,1.33333333333333,NA,NA,NA,0,0,0,1,1,0,0,-2.39666666666667,0.27,-0.53,0,0,"Non-Leftist"
2004-05-19,0.746,NA,"religious","center",1,"M",55,2004,1,1,1,1,6,6,6,6,6,1,1,1,1,6,6,6,6,6,NA,NA,NA,1,0,0,1,0,0,0,2.27,NA,-0.53,0,0,"Non-Leftist"
2004-05-19,0.746,NA,"religious","right",1,"M",38,2004,6,1,NA,3.5,6,6,6,6,6,1,1,1,1,6,6,3,6,5,NA,NA,NA,1,0,0,1,0,0,0,1.27,-1.73,-0.53,0,0,"Non-Leftist"
2004-05-23,0.746,NA,"religious","center",1,"M",21,2004,1,1,1,1,1,6,3,6,4,1,1,1,1,6,6,6,6,6,NA,NA,NA,1,0,0,1,0,0,0,2.27,NA,-0.53,0,0,"Non-Leftist"
2004-05-17,0.746,NA,"religious","center",2,"M",27,2004,1,1,1,1,2,6,3,6,4.25,6,2,1,1,4.5,5,5,2,4,NA,NA,NA,1,0,0,1,0,0,0,0.27,0.27,-0.53,0,0,"Non-Leftist"
2004-05-17,0.746,NA,"religious","center",1,"M",32,2004,1,1,1,1,1,6,1,3,2.75,1,2,1,1,5.75,2,2,1,1.66666666666667,NA,NA,NA,1,0,0,1,0,0,0,-2.06333333333333,NA,-0.53,0,0,"Non-Leftist"
2004-05-16,0.746,NA,"religious","right",1,"M",55,2004,1,1,1,1,1,1,1,6,2.25,1,2,1,1,5.75,3,1,1,1.66666666666667,NA,NA,NA,1,0,0,1,0,0,0,-2.06333333333333,-0.73,-0.53,0,0,"Non-Leftist"
2004-05-12,0.746,NA,"religious","center",1,"M",36,2004,1,1,1,1,2,6,3,6,4.25,4,3,1,1,4.75,6,5,6,5.66666666666667,NA,NA,NA,1,0,0,1,0,0,0,1.93666666666667,0.27,-0.53,0,0,"Non-Leftist"
2004-05-12,0.746,NA,"religious","center",5,"M",22,2004,1,1,1,1,1,6,1,6,3.5,6,6,1,1,3.5,6,6,6,6,NA,NA,NA,0,0,0,1,0,0,0,2.27,0.27,-0.53,0,0,"Non-Leftist"
2004-05-11,0.746,NA,"religious","center",1,"M",23,2004,1,1,1,1,1,6,1,6,3.5,1,1,1,1,6,2,2,2,2,NA,NA,NA,1,0,0,1,0,0,0,-1.73,0.27,-0.53,0,0,"Non-Leftist"
2004-05-16,0.746,NA,"religious","center",4,"M",33,2004,1,1,1,1,6,6,6,6,6,1,1,1,1,6,6,6,6,6,NA,NA,NA,0,0,0,1,0,0,0,2.27,NA,-0.53,0,0,"Non-Leftist"
2004-05-16,0.746,NA,"religious","center",5,"M",39,2004,1,1,1,1,2,6,4,6,4.5,1,1,1,3,5.5,5,6,6,5.66666666666667,NA,NA,NA,0,0,0,1,0,0,0,1.93666666666667,NA,-0.53,0,0,"Non-Leftist"
2004-05-16,0.746,NA,"religious","center",5,"M",40,2004,1,1,1,1,6,6,5,6,5.75,NA,1,1,1,6,6,6,6,6,NA,NA,NA,0,0,0,1,0,0,0,2.27,NA,-0.53,0,0,"Non-Leftist"
2004-05-16,0.746,NA,"religious","right",1,"M",18,2004,4,1,1,2,6,5,4,6,5.25,1,2,1,2,5.5,5,5,4,4.66666666666667,NA,NA,NA,1,0,0,1,0,0,0,0.936666666666667,-0.73,-0.53,0,0,"Non-Leftist"
2004-05-20,0.42,NA,"religious","right",3,"M",29,2004,6,1,1,2.66666666666667,6,6,4,6,5.5,1,1,1,1,6,6,6,6,6,NA,NA,NA,0,1,0,1,0,0,0,2.27,-0.73,-0.53,0,0,"Non-Leftist"
2004-05-16,0.42,NA,"religious","right",2,"M",34,2004,1,3,3,2.33333333333333,6,6,6,6,6,1,1,1,1,6,6,6,6,6,NA,NA,NA,1,0,0,1,0,0,0,2.27,-0.73,-0.53,0,0,"Non-Leftist"
2004-05-23,0.746,NA,"religious","center",1,"M",25,2004,1,1,1,1,3,6,1,6,4,3,2,1,1,5.25,3,3,1,2.33333333333333,NA,NA,NA,1,0,0,1,0,0,0,-1.39666666666667,0.27,-0.53,0,0,"Non-Leftist"
2004-05-19,0.746,NA,"religious","right",NA,"M",56,2004,4,1,1,2,2,6,1,3,3,1,1,1,1,6,5,4,4,4.33333333333333,NA,NA,NA,NA,NA,0,1,0,0,0,0.603333333333333,-0.73,-0.53,0,0,"Non-Leftist"
2004-05-23,0.746,NA,"religious","right",1,"M",68,2004,1,1,1,1,3,6,3,6,4.5,3,2,1,3,4.75,3,4,3,3.33333333333333,NA,NA,NA,1,0,0,1,0,0,0,-0.396666666666667,-0.73,-0.53,0,0,"Non-Leftist"
2004-05-19,0.746,NA,"religious","right",1,"M",24,2004,3,1,1,1.66666666666667,6,6,6,6,6,1,1,1,1,6,6,6,4,5.33333333333333,NA,NA,NA,1,0,0,1,0,0,0,1.60333333333333,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-05,0.746,NA,"religious","right",2,"F",23,2005,1,1,1,1,5,6,5,6,5.5,1,2,1,1,5.75,6,4,2,4,NA,NA,NA,1,0,0,0,0,0,0,0.27,-0.73,0.47,-0.73,0.27,"Non-Leftist"
2005-05-01,1.32,NA,"secular","left",2,"F",35,2005,1,1,1,1,1,1,1,6,2.25,4,6,1,4,3.25,1,1,3,1.66666666666667,NA,NA,NA,1,0,0,0,1,0,0,-2.06333333333333,1.27,0.47,1.27,-2.06333333333333,"Leftist"
2005-05-01,0.746,NA,"religious","right",1,"F",24,2005,1,1,1,1,3,5,2,6,4,1,1,1,1,6,3,3,3,3,NA,NA,NA,1,0,0,0,0,0,0,-0.73,-0.73,0.47,-0.73,-0.73,"Non-Leftist"
2005-05-05,0.42,NA,"religious","right",3,"F",37,2005,1,1,1,1,6,6,2,6,5,1,1,1,1,6,4,4,4,4,NA,NA,NA,0,1,0,0,0,0,1,0.27,-0.73,0.47,-0.73,0.27,"Non-Leftist"
2004-05-11,1.32,NA,"secular","left",3,"F",39,2004,1,1,1,1,1,3,1,6,2.75,6,6,4,6,1.5,1,1,1,1,NA,NA,NA,0,1,0,1,1,0,0,-2.73,1.27,0.47,1.27,-2.73,"Leftist"
2004-05-12,1.32,NA,"secular","center",1,"F",63,2004,1,1,1,1,2,2,2,2,2,1,1,1,1,6,2,2,2,2,NA,NA,NA,1,0,0,1,1,0,0,-1.73,0.27,0.47,0.27,-1.73,"Non-Leftist"
2004-05-11,1.32,NA,"religious","center",1,"F",70,2004,1,1,1,1,4,4,2,1,2.75,6,6,2,5,2.25,4,2,5,3.66666666666667,NA,NA,NA,1,0,0,1,0,0,1,-0.0633333333333335,0.27,0.47,0.27,-0.0633333333333335,"Non-Leftist"
2004-05-16,0.746,NA,"religious","right",1,"F",60,2004,1,1,1,1,4,4,2,6,4,1,4,1,1,5.25,6,3,1,3.33333333333333,NA,NA,NA,1,0,0,1,0,0,0,-0.396666666666667,-0.73,0.47,-0.73,-0.396666666666667,"Non-Leftist"
2004-05-11,0.746,NA,"religious","center",2,"F",20,2004,1,1,1,1,6,6,3,6,5.25,1,1,1,1,6,6,6,6,6,NA,NA,NA,1,0,0,1,0,0,0,2.27,NA,0.47,NA,2.27,"Non-Leftist"
2004-05-13,0.42,NA,"secular","center",5,"F",28,2004,1,1,1,1,1,4,1,5,2.75,6,6,5,5,1.5,3,2,5,3.33333333333333,NA,NA,NA,0,0,0,1,1,0,0,-0.396666666666667,0.27,0.47,0.27,-0.396666666666667,"Non-Leftist"
2003-03-13,0.746,NA,"religious","right",1,"M",19,2003,3,3,3,3,6,6,6,6,6,3,1,1,1,5.5,6,6,6,6,NA,NA,NA,1,0,1,0,0,0,0,2.27,-1.73,-0.53,0,0,"Non-Leftist"
2003-03-09,0.44,NA,"secular","center",3,"F",73,2003,1,1,1,1,3,3,3,6,3.75,3,3,1,1,5,6,3,3,4,NA,NA,NA,0,1,1,0,1,0,0,0.27,NA,0.47,NA,0.27,"Non-Leftist"
2003-03-05,0.44,NA,"secular","center",1,"F",67,2003,1,1,1,1,1,6,1,6,3.5,1,1,1,3,5.5,2,1,3,2,NA,NA,NA,1,0,1,0,1,0,0,-1.73,0.27,0.47,0.27,-1.73,"Non-Leftist"
2003-03-04,0.746,NA,"religious","right",1,"M",36,2003,1,1,1,1,6,6,6,6,6,1,1,1,1,6,4,6,1,3.66666666666667,NA,NA,NA,1,0,1,0,0,0,0,-0.0633333333333335,-1.73,-0.53,0,0,"Non-Leftist"
2003-03-10,0.746,NA,"religious","right",2,"M",53,2003,1,1,1,1,6,6,3,6,5.25,1,1,1,1,6,6,3,6,5,NA,NA,NA,1,0,1,0,0,0,0,1.27,-1.73,-0.53,0,0,"Non-Leftist"
2003-03-12,0.746,NA,"religious","center",1,"M",27,2003,1,1,1,1,3,6,3,6,4.5,4,3,1,1,4.75,6,4,6,5.33333333333333,NA,NA,NA,1,0,1,0,0,0,0,1.60333333333333,NA,-0.53,0,0,"Non-Leftist"
2003-03-12,0.746,NA,"religious","center",5,"M",30,2003,1,1,1,1,1,6,1,6,3.5,6,6,1,6,2.25,NA,NA,4,4,NA,NA,NA,0,0,1,0,0,0,0,0.27,NA,-0.53,0,0,"Non-Leftist"
2003-03-12,0.746,NA,"religious","left",2,"M",44,2003,1,2,1,1.33333333333333,5,6,6,6,5.75,2,3,1,1,5.25,5,5,3,4.33333333333333,NA,NA,NA,1,0,1,0,0,0,0,0.603333333333333,1.27,-0.53,0,0,"Leftist"
2003-03-12,0.746,NA,"religious","right",NA,"M",36,2003,1,6,1,2.66666666666667,3,6,6,6,5.25,1,1,1,1,6,6,6,2,4.66666666666667,NA,NA,NA,NA,NA,1,0,0,0,0,0.936666666666667,-0.73,-0.53,0,0,"Non-Leftist"
2003-03-10,0.746,NA,"religious","left",3,"M",45,2003,3,1,1,1.66666666666667,1,2,3,6,3,3,3,1,1,5,6,3,1,3.33333333333333,NA,NA,NA,0,1,1,0,0,0,0,-0.396666666666667,1.27,-0.53,0,0,"Leftist"
2003-03-05,0.746,NA,"religious","center",2,"M",34,2003,1,3,3,2.33333333333333,2,6,2,6,4,4,6,1,1,4,5,2,6,4.33333333333333,NA,NA,NA,1,0,1,0,0,0,0,0.603333333333333,0.27,-0.53,0,0,"Non-Leftist"
2003-03-02,0.746,NA,"religious","right",4,"M",29,2003,2,1,1,1.33333333333333,6,6,6,NA,6,1,2,1,2,5.5,6,4,6,5.33333333333333,NA,NA,NA,0,0,1,0,0,0,0,1.60333333333333,-1.73,-0.53,0,0,"Non-Leftist"
2003-03-02,0.746,NA,"religious","center",3,"M",66,2003,1,1,1,1,4,4,4,6,4.5,1,3,1,3,5,4,4,2,3.33333333333333,NA,NA,NA,0,1,1,0,0,0,0,-0.396666666666667,0.27,-0.53,0,0,"Non-Leftist"
2003-03-02,0.746,NA,"religious","center",1,"M",70,2003,1,NA,1,1,6,6,6,6,6,6,1,1,1,4.75,5,4,6,5,NA,NA,NA,1,0,1,0,0,0,0,1.27,NA,-0.53,0,0,"Non-Leftist"
2003-02-26,0.746,NA,"religious","right",NA,"M",23,2003,NA,1,1,1,6,6,6,6,6,1,1,1,1,6,6,6,NA,6,NA,NA,NA,NA,NA,1,0,0,0,0,2.27,-1.73,-0.53,0,0,"Non-Leftist"
2003-02-25,0.746,NA,"religious","center",2,"M",36,2003,1,1,1,1,6,6,6,6,6,1,4,1,1,5.25,6,5,3,4.66666666666667,NA,NA,NA,1,0,1,0,0,0,0,0.936666666666667,NA,-0.53,0,0,"Non-Leftist"
2003-02-25,0.746,NA,"religious","center",2,"M",46,2003,1,1,1,1,1,6,3,3,3.25,NA,1,1,1,6,6,6,3,5,NA,NA,NA,1,0,1,0,0,0,0,1.27,0.27,-0.53,0,0,"Non-Leftist"
2003-03-16,0.42,NA,"traditional","left",1,"M",59,2003,NA,1,1,1,6,6,6,6,6,1,1,1,1,6,6,1,6,4.33333333333333,NA,NA,NA,1,0,1,0,0,1,0,0.603333333333333,2.27,-0.53,0,0,"Leftist"
2005-05-08,0.746,NA,"religious","right",3,"M",26,2005,1,1,1,1,1,6,1,NA,2.66666666666667,1,NA,1,1,6,1,1,4,2,NA,NA,NA,0,1,0,0,0,0,0,-1.73,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-01,0.44,NA,"religious","right",3,"M",53,2005,1,NA,1,1,6,6,6,6,6,6,6,1,3,3,5,6,6,5.66666666666667,NA,NA,NA,0,1,0,0,NA,NA,NA,1.93666666666667,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-09,1.32,NA,"traditional","center",1,"F",33,2005,1,1,1,1,6,2,1,6,3.75,1,1,1,1,6,6,6,6,6,NA,NA,NA,1,0,0,0,0,1,0,2.27,0.27,0.47,0.27,2.27,"Non-Leftist"
2004-05-18,1.32,4,"secular","left",4,"M",25,2004,1,1,1,1,1,1,1,1,1,6,6,6,6,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,-2.73,1.27,-0.53,0,0,"Leftist"
2004-05-18,1.32,4,"secular","center",5,"M",34,2004,1,1,1,1,4,3,1,5,3.25,6,6,4,5,1.75,6,1,4,3.66666666666667,0,0,0,0,0,0,1,1,0,0,-0.0633333333333335,0.27,-0.53,0,0,"Non-Leftist"
2004-05-18,1.32,4,"traditional","right",4,"M",68,2004,1,1,1,1,1,4,1,6,3,5,6,1,5,2.75,4,1,1,2,0,0,0,0,0,0,1,0,1,0,-1.73,-0.73,-0.53,0,0,"Non-Leftist"
2004-05-18,1.32,4,"religious","right",4,"M",51,2004,1,1,1,1,4,6,4,6,5,5,4,1,1,4.25,4,4,4,4,0,0,0,0,0,0,1,0,0,1,0.27,-0.73,-0.53,0,0,"Non-Leftist"
2003-02-24,1.32,4,"secular","center",NA,"M",20,2003,1,1,1,1,1,2,NA,6,3,4,5,1,3,3.75,2,4,4,3.33333333333333,0,0,0,NA,NA,1,0,1,0,0,-0.396666666666667,0.27,-0.53,0,0,"Non-Leftist"
2003-02-23,1.32,4,"religious","center",3,"M",35,2003,1,1,1,1,1,2,1,3,1.75,3,4,2,4,3.75,3,2,1,2,0,0,0,0,1,1,0,0,0,1,-1.73,NA,-0.53,0,0,"Non-Leftist"
2003-03-05,1.32,4,"secular","right",1,"M",39,2003,1,1,1,1,1,6,1,2,2.5,5,6,4,4,2.25,4,2,2,2.66666666666667,0,0,0,1,0,1,0,1,0,0,-1.06333333333333,-0.73,-0.53,0,0,"Non-Leftist"
2003-03-04,1.32,4,"secular","center",2,"M",59,2003,1,1,1,1,1,3,1,4,2.25,6,6,6,6,1,3,2,2,2.33333333333333,0,0,0,1,0,1,0,1,0,0,-1.39666666666667,0.27,-0.53,0,0,"Non-Leftist"
2003-02-23,1.32,4,"religious","center",5,"M",48,2003,1,1,1,1,3,5,6,6,5,1,2,1,1,5.75,5,4,4,4.33333333333333,0,0,0,0,0,1,0,0,0,1,0.603333333333333,NA,-0.53,0,0,"Non-Leftist"
2003-02-25,1.32,4,"secular","left",2,"M",32,2003,1,1,1,1,1,1,1,6,2.25,4,5,3,4,3,2,2,4,2.66666666666667,0,0,0,1,0,1,0,1,0,0,-1.06333333333333,1.27,-0.53,0,0,"Leftist"
2003-02-24,1.32,4,"secular","center",5,"M",35,2003,1,5,4,3.33333333333333,6,6,NA,6,6,4,4,1,3,4,6,6,6,6,0,0,0,0,0,1,0,1,0,0,2.27,0.27,-0.53,0,0,"Non-Leftist"
2003-02-23,0.44,4,"traditional","right",4,"M",49,2003,1,1,1,1,2,6,6,6,5,1,6,1,6,3.5,4,4,6,4.66666666666667,0,0,0,0,0,1,0,0,1,0,0.936666666666667,-0.73,-0.53,0,0,"Non-Leftist"
2003-03-04,1.32,4,"secular","center",4,"M",39,2003,1,5,3,3,1,1,1,1,1,6,6,6,5,1.25,4,4,3,3.66666666666667,0,0,0,0,0,1,0,1,0,0,-0.0633333333333335,NA,-0.53,0,0,"Non-Leftist"
2003-02-24,1.32,4,"secular","right",5,"M",70,2003,5,6,NA,5.5,NA,4,4,6,4.66666666666667,3,2,1,3,4.75,3,3,2,2.66666666666667,0,0,0,0,0,1,0,1,0,0,-1.06333333333333,-0.73,-0.53,0,0,"Non-Leftist"
2003-02-23,1.32,4,"traditional","center",4,"M",27,2003,1,1,1,1,3,1,3,3,2.5,1,NA,1,5,4.66666666666667,6,6,6,6,0,0,0,0,0,1,0,0,1,0,2.27,0.27,-0.53,0,0,"Non-Leftist"
2003-02-24,1.32,4,"traditional","center",5,"M",74,2003,4,NA,NA,4,NA,6,6,6,6,NA,1,1,1,6,6,6,6,6,0,0,0,0,0,1,0,0,1,0,2.27,NA,-0.53,0,0,"Non-Leftist"
2003-02-24,1.32,4,"secular","center",2,"M",66,2003,1,1,1,1,1,5,1,3,2.5,3,3,1,1,5,2,2,3,2.33333333333333,0,0,0,1,0,1,0,1,0,0,-1.39666666666667,0.27,-0.53,0,0,"Non-Leftist"
2003-02-23,1.32,4,"secular","center",4,"M",58,2003,1,1,1,1,1,5,1,5,3,5,6,2,3,3,4,1,3,2.66666666666667,0,0,0,0,0,1,0,1,0,0,-1.06333333333333,0.27,-0.53,0,0,"Non-Leftist"
2003-02-23,1.32,4,"secular","center",2,"M",77,2003,1,1,1,1,1,1,4,6,3,3,5,1,1,4.5,6,6,6,6,0,0,0,1,0,1,0,1,0,0,2.27,0.27,-0.53,0,0,"Non-Leftist"
2003-02-24,1.32,4,"traditional","right",NA,"M",19,2003,6,2,2,3.33333333333333,1,1,6,6,3.5,1,2,1,1,5.75,6,6,6,6,0,0,0,NA,NA,1,0,0,1,0,2.27,-1.73,-0.53,0,0,"Non-Leftist"
2003-02-25,1.32,4,"secular","center",5,"M",32,2003,1,1,1,1,1,2,1,4,2,5,6,3,3,2.75,3,1,2,2,0,0,0,0,0,1,0,1,0,0,-1.73,NA,-0.53,0,0,"Non-Leftist"
2003-02-25,1.32,4,"secular","left",5,"M",33,2003,1,1,1,1,1,1,1,1,1,4,4,4,6,2.5,1,1,5,2.33333333333333,0,0,0,0,0,1,0,1,0,0,-1.39666666666667,2.27,-0.53,0,0,"Leftist"
2003-03-03,1.32,4,"secular","right",NA,"M",27,2003,1,1,1,1,1,1,6,6,3.5,3,6,NA,1,3.66666666666667,6,1,6,4.33333333333333,0,0,0,NA,NA,1,0,1,0,0,0.603333333333333,-0.73,-0.53,0,0,"Non-Leftist"
2003-02-25,1.32,4,"traditional","right",2,"M",19,2003,1,1,1,1,6,6,6,6,6,1,1,1,1,6,6,6,5,5.66666666666667,0,0,0,1,0,1,0,0,1,0,1.93666666666667,-1.73,-0.53,0,0,"Non-Leftist"
2003-02-25,1.32,4,"secular","left",NA,"M",57,2003,1,1,1,1,2,2,1,5,2.5,5,6,5,6,1.5,3,2,2,2.33333333333333,0,0,0,NA,NA,1,0,1,0,0,-1.39666666666667,1.27,-0.53,0,0,"Leftist"
2003-02-25,1.32,4,"secular","center",1,"M",37,2003,1,1,1,1,1,3,2,5,2.75,6,6,3,6,1.75,3,2,2,2.33333333333333,0,0,0,1,0,1,0,1,0,0,-1.39666666666667,0.27,-0.53,0,0,"Non-Leftist"
2003-02-26,1.32,4,"secular","center",5,"M",19,2003,1,6,1,2.66666666666667,4,6,3,3,4,1,1,1,1,6,6,6,6,6,0,0,0,0,0,1,0,1,0,0,2.27,NA,-0.53,0,0,"Non-Leftist"
2003-03-03,1.32,4,"secular","right",3,"M",36,2003,1,1,1,1,6,6,3,6,5.25,1,6,1,1,4.75,6,4,6,5.33333333333333,0,0,0,0,1,1,0,1,0,0,1.60333333333333,-0.73,-0.53,0,0,"Non-Leftist"
2003-02-25,1.32,4,"secular","center",3,"M",49,2003,1,1,1,1,1,NA,1,3,1.66666666666667,4,6,3,3,3,3,2,4,3,0,0,0,0,1,1,0,1,0,0,-0.73,0.27,-0.53,0,0,"Non-Leftist"
2003-02-26,1.32,4,"secular","center",4,"M",21,2003,2,1,1,1.33333333333333,1,1,2,6,2.5,6,6,1,3,3,1,1,1,1,0,0,0,0,0,1,0,1,0,0,-2.73,0.27,-0.53,0,0,"Non-Leftist"
2003-02-26,1.32,4,"secular","center",3,"M",29,2003,1,3,1,1.66666666666667,NA,NA,NA,NA,3.50058235469924,6,6,3,6,1.75,1,2,5,2.66666666666667,0,0,0,0,1,1,0,1,0,0,-1.06333333333333,0.27,-0.53,0,0,"Non-Leftist"
2003-03-04,1.32,4,"secular","center",3,"M",53,2003,1,1,1,1,1,2,1,5,2.25,3,5,2,4,3.5,1,3,2,2,0,0,0,0,1,1,0,1,0,0,-1.73,0.27,-0.53,0,0,"Non-Leftist"
